"Name","Symbol","Type","Order from Sun","Mass (kg)","Mass (Earth = 1)","Diameter (km)","Diameter (Earth = 1)","Distance from Sun (km)","Distance from Sun (AU)","Orbital Period (days)","Orbital Period (years)","Rotation Period (hours)","Number of Moons","Has Rings","Surface Gravity (m/s²)","Avg Temperature (°C)","Atmosphere"
Mercury,☿,Terrestrial,1,3.30 × 10²³,0.055,4879,0.383,57.9 × 10⁶,0.39,88,0.24,1407.6,0,No,3.7,167,Minimal (exosphere)
Venus,♀,Terrestrial,2,4.87 × 10²⁴,0.815,12104,0.949,108.2 × 10⁶,0.72,225,0.62,-5832.5,0,No,8.87,464,"CO₂, N₂ (thick, dense)"
Earth,⊕,Terrestrial,3,5.97 × 10²⁴,1,12756,1,149.6 × 10⁶,1,365.25,1,23.93,1,No,9.81,15,"N₂, O₂"
Mars,♂,Terrestrial,4,6.42 × 10²³,0.107,6792,0.532,228.0 × 10⁶,1.52,687,1.88,24.62,2,No,3.71,-65,"CO₂, N₂, Ar (thin)"
Jupiter,♃,Gas Giant,5,1.90 × 10²⁷,317.8,142984,11.21,778.5 × 10⁶,5.2,4333,11.86,9.93,95,Yes (faint),24.79,-110,"H₂, He"
Saturn,♄,Gas Giant,6,5.68 × 10²⁶,95.2,120536,9.45,1432 × 10⁶,9.58,10759,29.46,10.66,146,Yes (prominent),10.44,-140,"H₂, He"
Uranus,⛢,Ice Giant,7,8.68 × 10²⁵,14.5,51118,4.01,2867 × 10⁶,19.18,30687,84.01,-17.24,28,Yes (faint),8.87,-195,"H₂, He, CH₄"
Neptune,♆,Ice Giant,8,1.02 × 10²⁶,17.1,49528,3.88,4515 × 10⁶,30.07,60190,164.8,16.11,16,Yes (faint),11.15,-200,"H₂, He, CH₄"
Pluto,♇,Dwarf Planet,9,1.30 × 10²²,0.002,2377,0.186,5906 × 10⁶,39.48,90560,248,-153.3,5,No,0.62,-230,"N₂, CH₄, CO (thin)"
Ceres,⚳,Dwarf Planet,,9.38 × 10²⁰,0.00016,940,0.074,414 × 10⁶,2.77,1682,4.6,9.07,0,No,0.27,-105,Minimal
Eris,⯰,Dwarf Planet,,1.66 × 10²²,0.0028,2326,0.182,10120 × 10⁶,67.67,203830,558,25.9,1,No,0.82,-243,Minimal
